docs/README.md	templates/cloud/README.md	mirrors	EXTRACTED
docs/README.md	templates/README.md	mirrors	EXTRACTED
docs/scripts/check-task-prerequisites.md	scripts/bash/check-task-prerequisites.sh	mentions	INFERRED
docs/scripts/check-task-prerequisites.md	scripts/powershell/check-task-prerequisites.ps1	mentions	INFERRED
docs/scripts/check-task-prerequisites.md	templates/plan.template.md	mentions	INFERRED
docs/scripts/common.md	scripts/bash/common.sh	mentions	INFERRED
docs/scripts/common.md	scripts/powershell/common.ps1	mentions	INFERRED
docs/scripts/common.md	scripts/powershell/get-feature-paths.ps1	mentions	INFERRED
docs/scripts/config-manager.md	CLAUDE.md	mentions	INFERRED
docs/scripts/config-manager.md	scripts/bash/config-manager.sh	mentions	INFERRED
docs/scripts/config-manager.md	scripts/powershell/config-manager.ps1	mentions	INFERRED
docs/scripts/create-new-feature.md	scripts/bash/create-new-feature.sh	mentions	INFERRED
docs/scripts/create-new-feature.md	scripts/powershell/create-new-feature.ps1	mentions	INFERRED
docs/scripts/create-new-feature.md	templates/spec.template.md	mentions	INFERRED
